컬렉션 넘버,마크,카드명,타입,분류,레어도
001/190,G,뚜벅쵸,,기본 포켓몬,C
002/190,G,냄새꼬,,1진화 포켓몬,C
003/190,G,라플레시아,,2진화 포켓몬,C
004/190,G,스라크,,기본 포켓몬,C
005/190,G,통통코,,기본 포켓몬,C
006/190,G,두코,,1진화 포켓몬,C
007/190,G,솜솜코,,2진화 포켓몬,C
008/190,G,피콘,,기본 포켓몬,C
009/190,G,쏘콘 ex,,1진화 포켓몬 | 포켓몬 ex,RR
010/190,G,눈쓰개,,기본 포켓몬,C
011/190,G,눈설왕,,1진화 포켓몬,C
012/190,G,나오하,,기본 포켓몬,C
013/190,G,나로테,,1진화 포켓몬,C
014/190,G,마스카나 ex,,2진화 포켓몬 | 포켓몬 ex,RR
015/190,G,미니브,,기본 포켓몬,C
016/190,G,올리뇨,,1진화 포켓몬,C
017/190,G,올리르바,,2진화 포켓몬,C
018/190,G,들눈해,,기본 포켓몬,C
019/190,G,육파리 ex,,1진화 포켓몬 | 포켓몬 ex,RR
020/190,G,캡싸이,,기본 포켓몬,C
021/190,G,스코빌런,,1진화 포켓몬,C
022/190,G,구르데,,기본 포켓몬,C
023/190,G,클레스퍼트라 ex,,1진화 포켓몬 | 포켓몬 ex,RR
024/190,G,총지엔 ex,,기본 포켓몬 | 포켓몬 ex,RR
025/190,G,파이리,,기본 포켓몬,C
026/190,G,리자드,,1진화 포켓몬,C
027/190,G,팔데아 켄타로스,,기본 포켓몬,C
028/190,G,앤테이,,기본 포켓몬,C
029/190,G,춤추새,,기본 포켓몬,C
030/190,G,뜨아거,,기본 포켓몬,C
031/190,G,악뜨거,,1진화 포켓몬,C
032/190,G,라우드본 ex,,2진화 포켓몬 | 포켓몬 ex,RR
033/190,G,카르본,,기본 포켓몬,C
034/190,G,카디나르마,,1진화 포켓몬,C
035/190,G,위유이 ex,,기본 포켓몬 | 포켓몬 ex,RR
036/190,G,야돈,,기본 포켓몬,C
037/190,G,야도란,,1진화 포켓몬,C
038/190,G,별가사리,,기본 포켓몬,C
039/190,G,아쿠스타,,1진화 포켓몬,C
040/190,G,팔데아 켄타로스,,기본 포켓몬,C
041/190,G,꾸왁스,,기본 포켓몬,C
042/190,G,아꾸왁,,1진화 포켓몬,C
043/190,G,웨이니발 ex,,2진화 포켓몬 | 포켓몬 ex,RR
044/190,G,바다그다,,기본 포켓몬,C
045/190,G,바닥트리오,,1진화 포켓몬,C
046/190,G,맨돌핀,,기본 포켓몬,C
047/190,G,돌핀맨,,1진화 포켓몬,C
048/190,G,가비루사,,기본 포켓몬,C
049/190,G,어써러셔,,기본 포켓몬,C
050/190,G,싸리용,,기본 포켓몬,C
051/190,G,드니차,,기본 포켓몬,C
052/190,G,드니꽁,,1진화 포켓몬,C
053/190,G,드닐레이브,,2진화 포켓몬,C
054/190,G,파오젠 ex,,기본 포켓몬 | 포켓몬 ex,RR
055/190,G,피카츄,,기본 포켓몬,C
056/190,G,라이츄,,1진화 포켓몬,C
057/190,G,찌리리공,,기본 포켓몬,C
058/190,G,붐볼,,1진화 포켓몬,C
059/190,G,꼬링크,,기본 포켓몬,C
060/190,G,럭시오,,1진화 포켓몬,C
061/190,G,렌트라,,2진화 포켓몬,C
062/190,G,파치리스,,기본 포켓몬,C
063/190,G,볼트로스,,기본 포켓몬,C
064/190,G,일레즌,,기본 포켓몬,C
065/190,G,스트린더,,1진화 포켓몬,C
066/190,G,빠모,,기본 포켓몬,C
067/190,G,빠모트,,1진화 포켓몬,C
068/190,G,빠르모트,,2진화 포켓몬,C
069/190,G,찌리비,,기본 포켓몬,C
070/190,G,찌리비크,,1진화 포켓몬,C
071/190,G,미라이돈 ex,,기본 포켓몬 | 포켓몬 ex,RR
072/190,G,푸크린,,1진화 포켓몬,C
073/190,G,캐이시,,기본 포켓몬,C
074/190,G,윤겔라,,1진화 포켓몬,C
075/190,G,후딘 ex,,2진화 포켓몬 | 포켓몬 ex,RR
076/190,G,뮤 ex,,기본 포켓몬 | 포켓몬 ex,RR
077/190,G,삐,,기본 포켓몬,C
078/190,G,네이티,,기본 포켓몬,C
079/190,G,네이티오,,1진화 포켓몬,C
080/190,G,랄토스,,기본 포켓몬,C
081/190,G,킬리아,,1진화 포켓몬,C
082/190,G,가디안 ex,,2진화 포켓몬 | 포켓몬 ex,RR
083/190,G,흔들풍손,,기본 포켓몬,C
084/190,G,둥실라이드,,1진화 포켓몬,C
085/190,G,흉내내,,기본 포켓몬,C
086/190,G,화강돌,,기본 포켓몬,C
087/190,G,클레피,,기본 포켓몬,C
088/190,G,따라큐,,기본 포켓몬,C
089/190,G,쫀도기,,기본 포켓몬,C
090/190,G,바우첼,,1진화 포켓몬,C
091/190,G,파라블레이즈,,1진화 포켓몬,C
092/190,G,베라카스,,1진화 포켓몬,C
093/190,G,하느라기,,기본 포켓몬,C
094/190,G,어리짱,,기본 포켓몬,C
095/190,G,벼리짱,,1진화 포켓몬,C
096/190,G,두드리짱,,2진화 포켓몬,C
097/190,G,망망이,,기본 포켓몬,C
098/190,G,묘두기,,1진화 포켓몬,C
099/190,G,모으령,,기본 포켓몬,C
100/190,G,망키,,기본 포켓몬,C
101/190,G,성원숭,,1진화 포켓몬,C
102/190,G,저승갓숭,,2진화 포켓몬,C
103/190,G,팔데아 켄타로스,,기본 포켓몬,C
104/190,G,리오르,,기본 포켓몬,C
105/190,G,루카리오,,1진화 포켓몬,C
106/190,G,루차불,,기본 포켓몬,C
107/190,G,베베솔트,,기본 포켓몬,C
108/190,G,스태솔트,,1진화 포켓몬,C
109/190,G,콜로솔트,,2진화 포켓몬,C
110/190,G,초롱순,,기본 포켓몬,C
111/190,G,킬라플로르 ex,,1진화 포켓몬 | 포켓몬 ex,RR
112/190,G,위대한엄니 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
113/190,G,딩루 ex,,기본 포켓몬 | 포켓몬 ex,RR
114/190,G,코라이돈 ex,,기본 포켓몬 | 포켓몬 ex,RR
115/190,G,리자몽 ex,,2진화 포켓몬 | 포켓몬 ex,RR
116/190,G,팔데아 우파,,기본 포켓몬,C
117/190,G,팔데아 토오 ex,,1진화 포켓몬 | 포켓몬 ex,RR
118/190,G,니로우,,기본 포켓몬,C
119/190,G,포푸니,,기본 포켓몬,C
120/190,G,포푸니라,,1진화 포켓몬,C
121/190,G,깜까미,,기본 포켓몬,C
122/190,G,자망칼,,기본 포켓몬,C
123/190,G,절각참,,1진화 포켓몬,C
124/190,G,대도각참,,2진화 포켓몬,C
125/190,G,오라티프,,기본 포켓몬,C
126/190,G,마피티프,,1진화 포켓몬,C
127/190,G,땃쭈르,,기본 포켓몬,C
128/190,G,태깅구르,,1진화 포켓몬,C
