컬렉션 넘버,마크,카드명,타입,분류,레어도
001/083,J,뿔충이,,기본 포켓몬,C
002/083,J,딱충이,,1진화 포켓몬,C
003/083,J,독침붕,,2진화 포켓몬,RR
004/083,J,무스틈니,,기본 포켓몬,C
005/083,J,도치마론,,기본 포켓몬,C
006/083,J,도치보구,,1진화 포켓몬,C
007/083,J,브리가론,,2진화 포켓몬,R
008/083,J,식스테일,,기본 포켓몬,C
009/083,J,나인테일,,1진화 포켓몬,U
010/083,J,칠색조,,기본 포켓몬,U
011/083,J,푸호꼬,,기본 포켓몬,C
012/083,J,테르나,,1진화 포켓몬,C
013/083,J,마폭시,,2진화 포켓몬,R
014/083,J,레오꼬,,기본 포켓몬,C
015/083,J,메가화염레오,,1진화 포켓몬,RR
016/083,J,총어,,기본 포켓몬,C
017/083,J,대포무노,,1진화 포켓몬,C
018/083,J,딜리버드,,기본 포켓몬,U
019/083,J,케르디오,,기본 포켓몬,U
020/083,J,개구마르,,기본 포켓몬,C
021/083,J,개굴반장,,1진화 포켓몬,C
022/083,J,메가개굴닌자,,2진화 포켓몬,RR
023/083,J,꽁어름,,기본 포켓몬,C
024/083,J,크레베이스,,1진화 포켓몬,U
025/083,J,꼬시레,,기본 포켓몬,C
026/083,J,갑주무사,,1진화 포켓몬,U
027/083,J,메리프,,기본 포켓몬,C
028/083,J,보송송,,1진화 포켓몬,C
029/083,J,전룡,,2진화 포켓몬,R
030/083,J,에몽가,,기본 포켓몬,C
031/083,J,테오키스,,기본 포켓몬,U
032/083,J,테오키스,,기본 포켓몬,U
033/083,J,테오키스,,기본 포켓몬,U
034/083,J,테오키스,,기본 포켓몬,U
035/083,J,메가플라엣테,,기본 포켓몬,RR
036/083,J,냐스퍼,,기본 포켓몬,C
037/083,J,냐오닉스,,1진화 포켓몬,U
038/083,J,나목령,,기본 포켓몬,C
039/083,J,대로트,,1진화 포켓몬,R
040/083,J,호바귀,,기본 포켓몬,C
041/083,J,펌킨인,,1진화 포켓몬,RR
042/083,J,제르네아스,,기본 포켓몬,R
043/083,J,꼬지모,,기본 포켓몬,U
044/083,J,코코리,,기본 포켓몬,C
045/083,J,코리갑,,1진화 포켓몬,C
046/083,J,오뚝군,,기본 포켓몬,C
047/083,J,점토도리,,기본 포켓몬,U
048/083,J,주뱃,,기본 포켓몬,C
049/083,J,골뱃,,1진화 포켓몬,C
050/083,J,크로뱃,,2진화 포켓몬,U
051/083,J,침바루,,기본 포켓몬,C
052/083,J,스컹뿡,,기본 포켓몬,C
053/083,J,스컹탱크,,1진화 포켓몬,U
054/083,J,깨봉이,,기본 포켓몬,C
055/083,J,더스트나,,1진화 포켓몬,U
056/083,J,수레기,,기본 포켓몬,C
057/083,J,메탕,,기본 포켓몬,C
058/083,J,메탕구,,1진화 포켓몬,C
059/083,J,메타그로스,,2진화 포켓몬,U
060/083,J,철시드,,기본 포켓몬,C
061/083,J,너트령,,1진화 포켓몬,U
062/083,J,코바르온,,기본 포켓몬,RR
063/083,J,메가드래캄,,1진화 포켓몬,RR
064/083,J,미끄메라,,기본 포켓몬,C
065/083,J,미끄네일,,1진화 포켓몬,C
066/083,J,미끄래곤,,2진화 포켓몬,U
067/083,J,켄타로스,,기본 포켓몬,U
068/083,J,보르쥐,,기본 포켓몬,C
069/083,J,보르그,,1진화 포켓몬,C
070/083,J,치라미,,기본 포켓몬,C
071/083,J,치라치노,,1진화 포켓몬,RR
072/083,J,변화의 서,아이템,,U
073/083,J,스페셜 레드카드,아이템,,U
074/083,J,월척네트,아이템,,U
075/083,J,AZ의 평온,서포트,,U
076/083,J,마티에르,서포트,,U
077/083,J,보미카의 연주,서포트,,U
078/083,J,지프,서포트,,U
079/083,J,앙쥬 플라엣테,스타디움,,U
080/083,J,프리즘타워,스타디움,,U
081/083,J,니트로 에너지,특수에너지,,R
082/083,J,버블 에너지,특수에너지,,R
083/083,J,마그넷 에너지,특수에너지,,R
084/083,J,도치마론,,기본 포켓몬,AR
