컬렉션 넘버,마크,카드명,타입,분류,레어도
001/064,H,파쪼옥,,기본 포켓몬,C
002/064,H,전툴라,,1진화 포켓몬,U
003/064,H,나몰빼미,,기본 포켓몬,C
004/064,H,빼미스로우,,1진화 포켓몬,C
005/064,H,모크나이퍼,,2진화 포켓몬,U
006/064,H,카푸브루루,,기본 포켓몬,R
007/064,H,델빌,,기본 포켓몬,C
008/064,H,헬가,,1진화 포켓몬,C
009/064,H,무쇠독나방,,기본 포켓몬 | 미래,U
010/064,H,쏘드라,,기본 포켓몬,C
011/064,H,시드라,,1진화 포켓몬,C
012/064,H,킹드라 ex,,2진화 포켓몬 | 포켓몬 ex,RR
013/064,H,포푸니,,기본 포켓몬,C
014/064,H,포푸니라,,1진화 포켓몬,U
015/064,H,부르르룸 ex,,1진화 포켓몬 | 포켓몬 ex,RR
016/064,H,슬리프,,기본 포켓몬,C
017/064,H,슬리퍼,,1진화 포켓몬,U
018/064,H,해골몽,,기본 포켓몬,C
019/064,H,미라몽,,1진화 포켓몬,C
020/064,H,야느와르몽,,2진화 포켓몬,R
021/064,H,크레세리아,,기본 포켓몬,R
022/064,H,님피아,,1진화 포켓몬,U
023/064,H,삐딱구리,,기본 포켓몬,C
024/064,H,독개굴,,1진화 포켓몬,C
025/064,H,다투곰 붉은 달,,기본 포켓몬,R
026/064,H,땅을기는날개,,기본 포켓몬 | 고대,U
027/064,H,주뱃,,기본 포켓몬,C
028/064,H,골뱃,,1진화 포켓몬,C
029/064,H,크로뱃,,2진화 포켓몬,U
030/064,H,앱솔,,기본 포켓몬,C
031/064,H,조로아,,기본 포켓몬,C
032/064,H,조로아크,,1진화 포켓몬,R
033/064,H,오케이징,,기본 포켓몬,C
034/064,H,칼라마네로,,1진화 포켓몬,U
035/064,H,이벨타르,,기본 포켓몬,U
036/064,H,조타구 ex,,기본 포켓몬 | 포켓몬 ex,RR
037/064,H,이야후 ex,,기본 포켓몬 | 포켓몬 ex,RR
038/064,H,기로치 ex,,기본 포켓몬 | 포켓몬 ex,RR
039/064,H,복숭악동 ex,,기본 포켓몬 | 포켓몬 ex,RR
040/064,H,게노세크트,,기본 포켓몬,U
041/064,H,끼리동,,기본 포켓몬,C
042/064,H,대왕끼리동,,1진화 포켓몬,R
043/064,H,부르롱,,기본 포켓몬,C
044/064,H,터검니,,기본 포켓몬,C
045/064,H,액슨도,,1진화 포켓몬,C
046/064,H,액스라이즈,,2진화 포켓몬,R
047/064,H,큐레무,,기본 포켓몬,U
048/064,H,나옹,,기본 포켓몬,C
049/064,H,페르시온,,1진화 포켓몬,C
050/064,H,이브이,,기본 포켓몬,C
051/064,H,트리미앙,,기본 포켓몬,C
052/064,H,포곰곰,,기본 포켓몬,C
053/064,H,이븐곰,,1진화 포켓몬,C
054/064,H,데인저러스 광선,아이템 | ACE SPEC,,ACE
055/064,H,밤의 들것,아이템,,U
056/064,H,포켓바이털A,아이템 | ACE SPEC,,ACE
057/064,H,사슬떡,포켓몬의 도구,,U
058/064,H,힘의 모래시계,포켓몬의 도구,,U
059/064,H,도희의 비기,서포트,,U
060/064,H,아크로마의 집념,서포트,,U
061/064,H,카시오페아,서포트,,U
062/064,H,크세로시키의 속셈,서포트,,U
063/064,H,뉴트럴센터,스타디움 | ACE SPEC,,ACE
064/064,H,밤의 아카데미,스타디움,,U
065/064,H,카푸브루루,,기본 포켓몬,AR
066/064,H,헬가,,1진화 포켓몬,AR
067/064,H,쏘드라,,기본 포켓몬,AR
068/064,H,해골몽,,기본 포켓몬,AR
069/064,H,미라몽,,1진화 포켓몬,AR
070/064,H,야느와르몽,,2진화 포켓몬,AR
071/064,H,크레세리아,,기본 포켓몬,AR
072/064,H,조로아,,기본 포켓몬,AR
073/064,H,끼리동,,기본 포켓몬,AR
074/064,H,액슨도,,1진화 포켓몬,AR
075/064,H,페르시온,,1진화 포켓몬,AR
076/064,H,이븐곰,,1진화 포켓몬,AR
077/064,H,킹드라 ex,,2진화 포켓몬 | 포켓몬 ex,SR
078/064,H,부르르룸 ex,,1진화 포켓몬 | 포켓몬 ex,SR
079/064,H,조타구 ex,,기본 포켓몬 | 포켓몬 ex,SR
080/064,H,이야후 ex,,기본 포켓몬 | 포켓몬 ex,SR
081/064,H,기로치 ex,,기본 포켓몬 | 포켓몬 ex,SR
082/064,H,복숭악동 ex,,기본 포켓몬 | 포켓몬 ex,SR
083/064,H,아크로마의 집념,서포트,,SR
084/064,H,도희의 비기,서포트,,SR
085/064,H,카시오페아,서포트,,SR
086/064,H,크세로시키의 속셈,서포트,,SR
087/064,H,조타구 ex,,기본 포켓몬 | 포켓몬 ex,SAR
088/064,H,이야후 ex,,기본 포켓몬 | 포켓몬 ex,SAR
089/064,H,기로치 ex,,기본 포켓몬 | 포켓몬 ex,SAR
090/064,H,복숭악동 ex,,기본 포켓몬 | 포켓몬 ex,SAR
091/064,H,카시오페아,서포트,,SAR
092/064,H,복숭악동 ex,,기본 포켓몬 | 포켓몬 ex,UR
093/064,H,대지의 그릇,아이템,,UR
094/064,H,힘의 모래시계,아이템,,UR
