컬렉션 넘버,마크,카드명,타입,분류,레어도
001/100,I,캐터피,,기본 포켓몬,C
002/100,I,단데기,,1진화 포켓몬,C
003/100,I,버터플,,2진화 포켓몬,U
004/100,I,파라스,,기본 포켓몬,C
005/100,I,파라섹트,,1진화 포켓몬,C
006/100,I,마라카치,,기본 포켓몬,U
007/100,I,딱정곤,,기본 포켓몬,C
008/100,I,쪼마리,,기본 포켓몬,C
009/100,I,어지리더,,1진화 포켓몬,U
010/100,I,나오하,,기본 포켓몬,C
011/100,I,나로테,,1진화 포켓몬,C
012/100,I,마스카나,,2진화 포켓몬,R
013/100,I,마그마,,기본 포켓몬,C
014/100,I,마그마번,,기본 포켓몬,R
015/100,I,N의 달막화,,기본 포켓몬 | 트레이너의 포켓몬,C
016/100,I,N의 불비달마,,기본 포켓몬 | 트레이너의 포켓몬,U
017/100,I,볼케니온,,기본 포켓몬 | 포켓몬 ex,RR
018/100,I,프리져,,기본 포켓몬,U
019/100,I,총어,,기본 포켓몬,C
020/100,I,대포무노,,1진화 포켓몬,U
021/100,I,연꽃몬,,기본 포켓몬,C
022/100,I,로토스,,1진화 포켓몬,C
023/100,I,로파파,,2진화 포켓몬,U
024/100,I,고래왕자,,기본 포켓몬,C
025/100,I,고래왕,,1진화 포켓몬,R
026/100,I,모야모의 찌리리공,,기본 포켓몬 | 트레이너의 포켓몬,C
027/100,I,모야모의 붐볼,,1진화 포켓몬 | 트레이너의 포켓몬,U
028/100,I,N의 파쪼옥,,기본 포켓몬 | 트레이너의 포켓몬,C
029/100,I,모야모의 빈나두,,기본 포켓몬 | 트레이너의 포켓몬,C
030/100,I,모야모의 찌리배리,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
031/100,I,모야모의 찌리비,,기본 포켓몬 | 트레이너의 포켓몬,C
032/100,I,모야모의 찌리비크,,1진화 포켓몬 | 트레이너의 포켓몬,R
033/100,I,릴리에의 삐삐,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
034/100,I,마임맨,,기본 포켓몬,C
035/100,I,어둠대신,,기본 포켓몬,C
036/100,I,다크펫,,1진화 포켓몬,U
037/100,I,메탕,,기본 포켓몬,C
038/100,I,메탕구,,1진화 포켓몬,C
039/100,I,메타그로스,,2진화 포켓몬,U
040/100,I,N의 심보러,,기본 포켓몬 | 트레이너의 포켓몬,C
041/100,I,릴리에의 에블리,,기본 포켓몬 | 트레이너의 포켓몬,C
042/100,I,릴리에의 에리본,,1진화 포켓몬 | 트레이너의 포켓몬,U
043/100,I,릴리에의 큐아링,,기본 포켓몬 | 트레이너의 포켓몬,C
044/100,I,꾸꾸리,,기본 포켓몬,C
045/100,I,메꾸리,,1진화 포켓몬,C
046/100,I,맘모꾸리,,2진화 포켓몬 | 포켓몬 ex,RR
047/100,I,애버라스,,기본 포켓몬,C
048/100,I,데기라스,,1진화 포켓몬,C
049/100,I,레지락,,기본 포켓몬,U
050/100,I,판짱,,기본 포켓몬,C
051/100,I,암멍이,,기본 포켓몬,C
052/100,I,루가루암,,1진화 포켓몬,R
053/100,I,호브의 모래뱀,,기본 포켓몬 | 트레이너의 포켓몬,C
054/100,I,호브의 사다이사,,기본 포켓몬 | 트레이너의 포켓몬,U
055/100,I,절벼게,,기본 포켓몬,U
056/100,I,또가스,,기본 포켓몬,C
057/100,I,또도가스,,1진화 포켓몬,U
058/100,I,마기라스,,2진화 포켓몬,R
059/100,I,N의 쌔비냥,,기본 포켓몬,C
060/100,I,N의 조로아,,기본 포켓몬,C
061/100,I,N의 조로아크,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
062/100,I,부란다,,1진화 포켓몬,U
063/100,I,슈바르고,,1진화 포켓몬,
064/100,I,N의 기어르,,기본 포켓몬 | 트레이너의 포켓몬,C
065/100,I,N의 기기어르,,1진화 포켓몬 | 트레이너의 포켓몬,C
066/100,I,N의 기기기어르,,2진화 포켓몬 | 트레이너의 포켓몬,U
067/100,I,마기아나,,기본 포켓몬,R
068/100,I,호브의 아머까오,,2진화 포켓몬,U
069/100,I,호브의 자시안,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
070/100,I,아공이,,기본 포켓몬,C
071/100,I,쉘곤,,1진화 포켓몬,C
072/100,I,보만다,,2진화 포켓몬 | 포켓몬 ex,RR
073/100,I,크리만,,기본 포켓몬,C
074/100,I,N의 레시라무,,기본 포켓몬 | 트레이너의 포켓몬,R
075/100,I,호브의 잠만보,,기본 포켓몬 | 트레이너의 포켓몬,R
076/100,I,꼬리선,,기본 포켓몬,C
077/100,I,다꼬리,,1진화 포켓몬,C
078/100,I,노고치,,기본 포켓몬,C
079/100,I,노고고치,,1진화 포켓몬 | 포켓몬 ex,RR
080/100,I,음뱃,,기본 포켓몬,C
081/100,I,음번,,1진화 포켓몬 | 트레이너의 포켓몬,U
082/100,I,자말라,,기본 포켓몬,C
083/100,I,호브의 파라꼬,,기본 포켓몬 | 트레이너의 포켓몬,C
084/100,I,호브의 파크로우,,1진화 포켓몬 | 트레이너의 포켓몬,C
085/100,I,호브의 우르,,기본 포켓몬 | 트레이너의 포켓몬,C
086/100,I,호브의 배우르,,기본 포켓몬 | 트레이너의 포켓몬,R
087/100,I,호브의 윽우지,,기본 포켓몬 | 트레이너의 포켓몬,U
088/100,I,좋은상처약,아이템,,U
089/100,I,N의 포인트업,아이템,,U
090/100,I,대체 티켓,아이템,,U
091/100,I,호브의 가방,아이템,,U
092/100,I,호브의 구애머리띠,포켓몬의 도구,,U
093/100,I,릴리에의 진주,포켓몬의 도구,,U
094/100,I,아이리스의 투지,서포트,,U
095/100,I,무서운 청년,서포트,,U
096/100,I,웅의 스카우트,서포트,,U
097/100,I,N의 성,스타디움,,U
098/100,I,누룩스시티,스타디움,,U
099/100,I,펄롱마을,스타디움,,U
100/100,I,스파이크 에너지,에너지,,U
101/100,I,마라카치,,기본 포켓몬,AR
102/100,I,프리져,,기본 포켓몬,AR
103/100,I,고래왕,,1진화 포켓몬,AR
104/100,I,모야모의 찌리비크,,1진화 포켓몬 | 트레이너의 포켓몬,AR
105/100,I,릴리에의 에리본,,1진화 포켓몬 | 트레이너의 포켓몬,AR
106/100,I,꾸꾸리,,기본 포켓몬,AR
107/100,I,루가루암,,기본 포켓몬,AR
108/100,I,N의 조로아,,기본 포켓몬 | 트레이너의 포켓몬,AR
109/100,I,N의 레시라무,,기본 포켓몬 | 트레이너의 포켓몬,AR
110/100,I,다꼬리,,1진화 포켓몬,AR
111/100,I,음뱃,,기본 포켓몬,AR
112/100,I,호브의 우르,,기본 포켓몬 | 트레이너의 포켓몬,AR
113/100,I,볼케니온,,기본 포켓몬 | 포켓몬 ex,SR
114/100,I,모야모의 찌리배리,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
115/100,I,릴리에의 삐삐,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
116/100,I,맘모꾸리,,2진화 포켓몬 | 포켓몬 ex,SR
117/100,I,N의 조로아크,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
118/100,I,호브의 자시안,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
119/100,I,보만다,,2진화 포켓몬 | 포켓몬 ex,SR
120/100,I,노고고치,,1진화 포켓몬 | 포켓몬 ex,SR
121/100,I,무서운 청년,서포트,,SR
122/100,I,아이리스의 투지,서포트,,SR
123/100,I,웅의 스카우트,서포트,,SR
124/100,I,볼케니온,,기본 포켓몬 | 포켓몬 ex,SAR
125/100,I,모야모의 찌리배리,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
126/100,I,릴리에의 삐삐,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
127/100,I,N의 조로아크,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
