컬렉션 넘버,마크,카드명,타입,분류,레어도
001/071,H,스라크,,기본 포켓몬,C
002/071,H,피콘,,기본 포켓몬,C
003/071,H,도토링,,기본 포켓몬,C
004/071,H,잎새코,,1진화 포켓몬,C
005/071,H,다탱구,,2진화 포켓몬,U
006/071,H,버섯꼬,,기본 포켓몬,C
007/071,H,버섯모,,1진화 포켓몬,C
008/071,H,사철록,,기본 포켓몬,C
009/071,H,바라철록,,1진화 포켓몬,U
010/071,H,턱지충이,,기본 포켓몬,C
011/071,H,타타륜,,기본 포켓몬,U
012/071,H,그푸리,,기본 포켓몬,C
013/071,H,공푸리,,1진화 포켓몬,R
014/071,H,구르데,,기본 포켓몬,C
015/071,H,베라카스,,1진화 포켓몬,U
016/071,H,무쇠잎새 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
017/071,H,마그마그,,기본 포켓몬,C
018/071,H,마그카르고,,1진화 포켓몬,R
019/071,H,비크티니,,기본 포켓몬,C
020/071,H,냐오불,,기본 포켓몬,C
021/071,H,냐오히트,,1진화 포켓몬,C
022/071,H,어흥염,,2진화 포켓몬 | 포켓몬 ex,RR
023/071,H,피카츄,,기본 포켓몬,C
024/071,H,라이츄,,1진화 포켓몬,C
025/071,H,에레브,,기본 포켓몬,C
026/071,H,에레키블,,1진화 포켓몬,U
027/071,H,전지충이,,1진화 포켓몬,C
028/071,H,투구뿌논,,2진화 포켓몬,U
029/071,H,제라오라,,기본 포켓몬,U
030/071,H,무쇠가시,,기본 포켓몬 | 미래,R
031/071,H,마임맨,,기본 포켓몬,C
032/071,H,키링키,,기본 포켓몬,C
033/071,H,에블리,,기본 포켓몬,C
034/071,H,에리본,,1진화 포켓몬,U
035/071,H,무쇠무인,,기본 포켓몬 | 미래,R
036/071,H,무쇠감투 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
037/071,H,요가랑,,기본 포켓몬,C
038/071,H,요가램,,1진화 포켓몬,C
039/071,H,두더류,,기본 포켓몬,C
040/071,H,몰드류,,1진화 포켓몬,U
041/071,H,무쇠암석 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
042/071,H,키키링 ex,,1진화 포켓몬 | 포켓몬 ex,RR
043/071,H,쏘콘,,1진화 포켓몬,U
044/071,H,핫삼 ex,,1진화 포켓몬 | 포켓몬 ex,RR
045/071,H,입치트,,기본 포켓몬,C
046/071,H,메탕,,기본 포켓몬,C
047/071,H,메탕구,,1진화 포켓몬,C
048/071,H,메타그로스,,2진화 포켓몬,U
049/071,H,멜탄,,기본 포켓몬,C
050/071,H,멜메탈,,1진화 포켓몬,R
051/071,H,무쇠바퀴,,기본 포켓몬 | 미래,U
052/071,H,미라이돈,,기본 포켓몬 | 미래,R
053/071,H,내루미,,기본 포켓몬,C
054/071,H,내룸벨트,,1진화 포켓몬,C
055/071,H,에나비,,기본 포켓몬,C
056/071,H,델케티,,1진화 포켓몬,U
057/071,H,콩둘기,,기본 포켓몬,C
058/071,H,유토브,,1진화 포켓몬,C
059/071,H,켄호로우,,2진화 포켓몬,U
060/071,H,할비롱,,기본 포켓몬,R
061/071,H,리부트 포드,아이템 | ACE SPEC | 미래,,ACE
062/071,H,프라임 캐처,아이템 | ACE SPEC,,ACE
063/071,H,핸드 트리머,아이템,,U
064/071,G,부스트에너지 미래,포켓몬의 도구 | 미래,,U
065/071,H,헤비 배턴,포켓몬의 도구,,U
066/071,H,히어로 망토,포켓몬의 도구 | ACE SPEC,,ACE
067/071,H,벨의 진심,서포트,,U
068/071,H,세이지,서포트,,U
069/071,H,암호마니아의 해독,서포트 | 미래,,U
070/071,H,풀메탈 랩,스타디움,,U
071/071,H,미스트 에너지,특수 에너지,,U
072/071,H,다탱구,,2진화 포켓몬,AR
073/071,H,사철록,,기본 포켓몬,AR
074/071,H,바라철록,,1진화 포켓몬,AR
075/071,H,냐오불,,기본 포켓몬,AR
076/071,H,전지충이,,1진화 포켓몬,AR
077/071,H,무쇠가시,,기본 포켓몬 | 미래,AR
078/071,H,에블리,,기본 포켓몬,AR
079/071,H,몰드류,,1진화 포켓몬,AR
080/071,H,메타그로스,,2진화 포켓몬,AR
081/071,H,멜탄,,기본 포켓몬,AR
082/071,H,내루미,,기본 포켓몬,AR
083/071,H,할비롱,,기본 포켓몬,AR
084/071,H,무쇠잎새 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
085/071,H,어흥염,,2진화 포켓몬 | 포켓몬 ex,SR
086/071,H,무쇠감투 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
087/071,H,무쇠암석 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
088/071,H,키키링 ex,,1진화 포켓몬 | 포켓몬 ex,SR
089/071,H,핫삼 ex,,1진화 포켓몬 | 포켓몬 ex,SR
090/071,H,벨의 진심,서포트,,SR
091/071,H,세이지,서포트,,SR
092/071,H,암호마니아의 해독,서포트 | 미래,,SR
093/071,H,무쇠잎새 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SAR
094/071,H,무쇠감투 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SAR
095/071,H,무쇠암석 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SAR
096/071,H,벨의 진심,서포트,,SAR
097/071,H,세이지,서포트,,SAR
098/071,H,무쇠잎새 ex,,기본 포켓몬 | 포켓몬 ex | 미래,UR
099/071,H,무쇠감투 ex,,기본 포켓몬 | 포켓몬 ex | 미래,UR
100/071,H,무쇠암석 ex,,기본 포켓몬 | 포켓몬 ex | 미래,UR
