컬렉션 넘버,마크,카드명,타입,분류,레어도
001/101,H,해너츠,,기본 포켓몬,C
002/101,H,해루미,,1진화 포켓몬,U
003/101,H,헤라크로스,,기본 포켓몬,U
004/101,H,볼비트,,기본 포켓몬,C
005/101,H,네오비트,,기본 포켓몬,C
006/101,H,나목령,,기본 포켓몬,C
007/101,H,대로트,,1진화 포켓몬,C
008/101,H,흥나숭,,기본 포켓몬,C
009/101,H,채키몽,,1진화 포켓몬,C
010/101,H,고릴타,,2진화 포켓몬,U
011/101,H,과사삭벌레,,기본 포켓몬,C
012/101,H,과미르,,1진화 포켓몬,U
013/101,H,차데스,,기본 포켓몬,C
014/101,H,그우린차,,1진화 포켓몬,R
015/101,H,오거폰 벽록의 가면,,기본 포켓몬,R
016/101,H,오거폰 벽록의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
017/101,H,달막화,,기본 포켓몬,C
018/101,H,불비달마,,1진화 포켓몬,U
019/101,H,불켜미,,기본 포켓몬,C
020/101,H,램프라,,1진화 포켓몬,C
021/101,H,샹델라,,2진화 포켓몬,R
022/101,H,오거폰 화덕의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
023/101,H,발챙이,,기본 포켓몬,C
024/101,H,슈륙챙이,,1진화 포켓몬,C
025/101,H,강챙이,,2진화 포켓몬,U
026/101,H,콘치,,기본 포켓몬,C
027/101,H,왕콘치,,1진화 포켓몬,C
028/101,H,루주라,,기본 포켓몬,C
029/101,H,빈티나,,기본 포켓몬,C
030/101,H,밀로틱,,1진화 포켓몬,U
031/101,H,눈꼬마,,기본 포켓몬,C
032/101,H,얼음귀신,,1진화 포켓몬,U
033/101,H,눈여아,,1진화 포켓몬,R
034/101,H,맨돌핀,,기본 포켓몬,C
035/101,H,돌핀맨,,1진화 포켓몬,U
036/101,H,돌핀맨 ex,,1진화 포켓몬 | 포켓몬 ex,RR
037/101,H,무쇠보따리,,기본 포켓몬 | 미래,U
038/101,H,오거폰 우물의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
039/101,H,꼬링크,,기본 포켓몬,C
040/101,H,럭시오,,1진화 포켓몬,C
