컬렉션 넘버,마크,카드명,타입,분류,레어도
001/106,H,아라리,,기본 포켓몬,C
002/106,H,나시,,1진화 포켓몬,U
003/106,H,아이앤트 ex,,기본 포켓몬 | 포켓몬 ex,RR
004/106,H,분이벌레,,기본 포켓몬,C
005/106,H,분떠도리,,1진화 포켓몬,C
006/106,H,비비용,,2진화 포켓몬,U
007/106,H,캡싸이,,기본 포켓몬,C
008/106,H,구르데,,기본 포켓몬,C
009/106,H,베라카스,,1진화 포켓몬,R
010/106,H,총지엔,,기본 포켓몬,U
011/106,H,팔데아 켄타로스,,기본 포켓몬,U
012/106,H,비크티니,,기본 포켓몬,U
013/106,H,활화르바,,기본 포켓몬,C
014/106,H,불카모스,,1진화 포켓몬,C
015/106,H,태우지네,,기본 포켓몬,C
016/106,H,다태우지네,,1진화 포켓몬,C
017/106,H,뜨아거,,기본 포켓몬,C
018/106,H,악뜨거,,1진화 포켓몬,C
019/106,H,라우드본,,기본 포켓몬,R
020/106,H,카르본,,기본 포켓몬,C
021/106,H,카디나르마,,1진화 포켓몬,U
022/106,H,파라블레이즈,,1진화 포켓몬,U
023/106,H,스코빌런 ex,,1진화 포켓몬 | 포켓몬 ex,RR
024/106,H,팔데아 켄타로스,,기본 포켓몬,U
025/106,H,빈티나,,기본 포켓몬,C
026/106,H,밀로틱 ex,,1진화 포켓몬 | 포켓몬 ex,RR
027/106,H,대굴레오,,기본 포켓몬,C
028/106,H,씨레오,,1진화 포켓몬,C
029/106,H,씨카이저,,2진화 포켓몬,U
030/106,H,깝질무,,기본 포켓몬,C
031/106,H,무쇠보따리,,기본 포켓몬,U
032/106,H,파오젠,,기본 포켓몬,R
033/106,H,피카츄,,기본 포켓몬 | 포켓몬 ex,RR
034/106,H,코일,,기본 포켓몬,C
035/106,H,레어코일,,1진화 포켓몬,U
036/106,H,자포코일,,2진화 포켓몬,U
037/106,H,로토무,,기본 포켓몬,C
038/106,H,줄뮤마,,기본 포켓몬,C
039/106,H,제브라이카,,1진화 포켓몬,C
040/106,H,메더,,기본 포켓몬,C
041/106,H,카푸꼬꼬꼭,,기본 포켓몬,R
042/106,H,찌리비,,기본 포켓몬,C
043/106,H,찌리비크,,1진화 포켓몬,U
044/106,H,미라이돈,,기본 포켓몬,U
045/106,H,토게피,,기본 포켓몬,C
046/106,H,토게틱,,1진화 포켓몬,C
047/106,H,토게키스,,2진화 포켓몬,R
048/106,H,유크시,,기본 포켓몬,C
049/106,H,엠라이트,,기본 포켓몬,C
050/106,H,아그놈,,기본 포켓몬,C
051/106,H,데스마스,,기본 포켓몬,C
052/106,H,데스니칸,,1진화 포켓몬,R
053/106,H,냐스퍼,,기본 포켓몬,C
054/106,H,냐오닉스,,1진화 포켓몬,U
055/106,H,데덴네,,기본 포켓몬,C
056/106,H,모래꿍,,기본 포켓몬,C
057/106,H,모래성이당 ex,,1진화 포켓몬 | 포켓몬 ex,RR
058/106,H,에써르,,기본 포켓몬,U
059/106,H,날개치는머리,,기본 포켓몬,U
060/106,H,망키,,기본 포켓몬,C
061/106,H,성원숭,,1진화 포켓몬,C
062/106,H,저승갓숭,,2진화 포켓몬,U
063/106,H,팔데아 켄타로스,,기본 포켓몬,U
064/106,H,코코리,,기본 포켓몬,C
065/106,H,코리갑,,1진화 포켓몬,C
066/106,H,트리토돈,,1진화 포켓몬,R
067/106,H,초롱순,,기본 포켓몬,C
068/106,H,킬라플로르,,1진화 포켓몬,C
069/106,H,코라이돈,,기본 포켓몬,U
070/106,H,모노두,,기본 포켓몬,C
071/106,H,디헤드,,1진화 포켓몬,C
072/106,H,삼삼드래 ex,,2진화 포켓몬 | 포켓몬 ex,RR
073/106,H,땃주르,,기본 포켓몬,C
074/106,H,태깅구르,,1진화 포켓몬,U
075/106,H,복숭악동,,기본 포켓몬,U
076/106,H,알로라 디그다,,기본 포켓몬,C
077/106,H,알로라 닥트리오,,1진화 포켓몬,U
078/106,H,동미러,,기본 포켓몬,C
079/106,H,동탁군,,1진화 포켓몬,C
080/106,H,무한다이노,,기본 포켓몬,R
081/106,H,싸리용 ex,,기본 포켓몬 | 포켓몬 ex,RR
082/106,H,게을로,,기본 포켓몬,C
083/106,H,발바로,,1진화 포켓몬,C
084/106,H,게을킹 ex,,2진화 포켓몬 | 포켓몬 ex,RR
085/106,H,쟝고,,기본 포켓몬,C
086/106,H,켈리몬,,기본 포켓몬,C
087/106,H,버프론,,기본 포켓몬,C
088/106,H,목도리키텔,,기본 포켓몬,C
089/106,H,일레도리자드,,기본 포켓몬,C
090/106,H,하랑우탄,,기본 포켓몬,C
091/106,H,두리쥐,,기본 포켓몬,C
092/106,H,파밀리쥐,,1진화 포켓몬,U
093/106,H,테라파고스,,기본 포켓몬,R
094/106,H,느긋풀,아이템,,U
095/106,H,미라클인터컴,아이템 | ACE SPEC,,ACE
096/106,H,스크램블 스위치,아이템 | ACE SPEC,,ACE
097/106,H,추리세트,아이템,,U
098/106,H,기술머신 플루어라이트,포켓몬의 도구,,U
099/106,H,마코열매,포켓몬의 도구,,U
100/106,H,바리비열매,포켓몬의 도구,,U
101/106,H,희망의 애뮬렛,포켓몬의 도구 | ACE SPEC,,ACE
102/106,H,규리의 눈빛,서포트,,U
103/106,H,시아노,서포트,,U
104/106,H,시트론의 재치,서포트,,U
105/106,H,그래비티 마운틴,스타디움,,U
106/106,H,익사이팅 스타디움,스타디움,,U
107/106,H,비비용,,2진화 포켓몬,AR
108/106,H,활화르바,,기본 포켓몬,AR
109/106,H,파라블레이즈,,1진화 포켓몬,AR
110/106,H,빈티나,,기본 포켓몬,AR
111/106,H,대굴레오,,기본 포켓몬,AR
112/106,H,레어코일,,1진화 포켓몬,AR
113/106,H,메더,,기본 포켓몬,AR
114/106,H,엠라이트,,기본 포켓몬,AR
115/106,H,코코리,,기본 포켓몬,AR
116/106,H,알로라 닥트리오,,1진화 포켓몬,AR
117/106,H,게을로,,기본 포켓몬,AR
118/106,H,켈리몬,,기본 포켓몬,AR
119/106,H,아이앤트 ex,,기본 포켓몬 | 포켓몬 ex,SR
120/106,H,스코빌런 ex,,1진화 포켓몬 | 포켓몬 ex,SR
121/106,H,밀로틱 ex,,1진화 포켓몬 | 포켓몬 ex,SR
122/106,H,피카츄 ex,,기본 포켓몬 | 포켓몬 ex,SR
123/106,H,모래성이당 ex,,1진화 포켓몬 | 포켓몬 ex,SR
124/106,H,삼삼드래 ex,,2진화 포켓몬 | 포켓몬 ex,SR
125/106,H,싸리용 ex,,기본 포켓몬 | 포켓몬 ex,SR
126/106,H,게을킹 ex,,2진화 포켓몬 | 포켓몬 ex,SR
127/106,H,시아노,서포트,,SR
128/106,H,시트론의 재치,서포트,,SR
129/106,H,규리의 눈빛,서포트,,SR
130/106,H,아이앤트 ex,,기본 포켓몬 | 포켓몬 ex,SAR
131/106,H,밀로틱 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
132/106,H,피카츄 ex,,기본 포켓몬 | 포켓몬 ex,SAR
133/106,H,삼삼드래 ex,,2진화 포켓몬 | 포켓몬 ex,SAR
134/106,H,시트론의 재치,서포트,,SAR
135/106,H,규리의 눈빛,서포트,,SAR
136/106,H,피카츄 ex,,기본 포켓몬 | 포켓몬 ex,UR
137/106,G,밤의 들것,아이템,,UR
138/106,H,그래비티 마운틴,스타디움,,UR
