컬렉션 넘버,마크,카드명,타입,분류,레어도
001/064,H,아라리,,기본 포켓몬,C
002/064,H,자마슈,,기본 포켓몬,C
003/064,H,마셰이드,,1진화 포켓몬,C
004/064,H,타타륜,,기본 포켓몬,C
005/064,H,자루도,,기본 포켓몬,R
006/064,H,캐스퐁 태양의모습,,기본 포켓몬,C
007/064,H,바오프,,기본 포켓몬,C
008/064,H,바오키,,1진화 포켓몬,C
009/064,H,꿰뚫는화염,,기본 포켓몬 | 고대,R
010/064,H,프리지오,,기본 포켓몬,C
011/064,H,블랙큐레무 ex,,기본 포켓몬 | 포켓몬 ex,RR
012/064,H,치갈기,,기본 포켓몬,U
013/064,H,꾸왁스,,기본 포켓몬,C
014/064,H,아꾸왁,,1진화 포켓몬,C
015/064,H,웨이니발,,2진화 포켓몬,U
016/064,H,터벅고래,,기본 포켓몬,C
017/064,H,우락고래,,1진화 포켓몬,C
018/064,H,뽀뽀라,,기본 포켓몬,C
019/064,H,라티아스 ex,,기본 포켓몬 | 포켓몬 ex,RR
020/064,H,라티오스,,기본 포켓몬,U
021/064,H,카푸나비나,,기본 포켓몬,R
022/064,H,하느라기,,기본 포켓몬,C
023/064,H,클레스퍼트라,,1진화 포켓몬,U
024/064,H,모으령,,기본 포켓몬,C
025/064,H,톱치,,기본 포켓몬,C
026/064,H,비브라바,,1진화 포켓몬,C
027/064,H,플라이곤 ex,,2진화 포켓몬 | 포켓몬 ex,RR
028/064,H,두더류,,기본 포켓몬,C
029/064,H,몰드류,,1진화 포켓몬,C
030/064,H,랜드로스,,기본 포켓몬,R
031/064,H,내던숭이,,기본 포켓몬,U
031/064,H,때때무노,,기본 포켓몬,C
033/064,H,케오퍼스,,1진화 포켓몬,C
034/064,H,무장조,,기본 포켓몬,C
035/064,H,클레피,,기본 포켓몬,C
036/064,H,두랄루돈,,기본 포켓몬,C
037/064,H,브리두라스 ex,,1진화 포켓몬 | 포켓몬 ex,RR
038/064,H,타부자고,,1진화 포켓몬,U
039/064,H,무쇠감투,,기본 포켓몬 | 미래,R
040/064,H,알로라 나시 ex,,1진화 포켓몬 | 포켓몬 ex,RR
041/064,H,파비코리,,1진화 포켓몬,U
042/064,H,디아루가,,기본 포켓몬,R
043/064,H,펄기아,,기본 포켓몬,R
044/064,H,폭거북스,,기본 포켓몬,U
045/064,H,과사삭벌레,,기본 포켓몬,C
046/064,H,애프룡,,1진화 포켓몬,U
047/064,H,단지래플,,1진화 포켓몬,U
048/064,H,파비코,,기본 포켓몬,C
049/064,H,수리둥보,,기본 포켓몬,C
050/064,H,워글,,1진화 포켓몬,U
051/064,H,모토마 ex,,기본 포켓몬 | 포켓몬 ex,RR
052/064,H,다크볼,아이템 | ACE SPEC,,ACE
053/064,H,도움벨,아이템,,U
054/064,H,메가톤 블로어,아이템,,U
055/064,H,방해 레터,아이템,,U
056/064,H,에너지 전송 PRO,아이템 | ACE SPEC,,ACE
057/064,H,용의 비약,아이템,,U
058/064,H,꼬시개열매,포켓몬의 도구,,U
059/064,H,카운터 게인,포켓몬의 도구,,U
060/064,H,드라세나,서포트,,U
061/064,H,루티아의 어필,서포트,,U
062/064,H,서퍼,서포트,,U
063/064,H,제빈,서포트,,U
064/064,H,리치 에너지,특수 에너지 | ACE SPEC,,ACE
065/064,H,아라리,,기본 포켓몬,AR
066/064,H,마셰이드,,1진화 포켓몬,AR
067/064,H,캐스퐁 태양의모습,,기본 포켓몬,AR
068/064,H,치갈기,,기본 포켓몬,AR
069/064,H,우락고래,,1진화 포켓몬,AR
070/064,H,라티오스,,기본 포켓몬,AR
071/064,H,비브라바,,1진화 포켓몬,AR
072/064,H,때때무노,,기본 포켓몬,AR
073/064,H,무장조,,기본 포켓몬,AR
074/064,H,애프룡,,1진화 포켓몬,AR
075/064,H,단지래플,,1진화 포켓몬,AR
076/064,H,워글,,1진화 포켓몬,AR
077/064,H,블랙큐레무 ex,,기본 포켓몬 | 포켓몬 ex,SR
078/064,H,라티아스 ex,,기본 포켓몬 | 포켓몬 ex,SR
079/064,H,플라이곤 ex,,2진화 포켓몬 | 포켓몬 ex,SR
080/064,H,브리두라스 ex,,1진화 포켓몬 | 포켓몬 ex,SR
081/064,H,알로라 나시 ex,,1진화 포켓몬 | 포켓몬 ex,SR
082/064,H,모토마 ex,,기본 포켓몬 | 포켓몬 ex,SR
083/064,H,드라세나,서포트,,SR
084/064,H,루티아의 어필,서포트,,SR
085/064,H,서퍼,서포트,,SR
086/064,H,제빈,서포트,,SR
087/064,H,라티아스 ex,,기본 포켓몬 | 포켓몬 ex,SAR
088/064,H,브리두라스 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
089/064,H,알로라 나시 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
090/064,H,루티아의 어필,서포트,,SAR
091/064,H,제빈,서포트,,SAR
092/064,H,알로라 나시 ex,,1진화 포켓몬 | 포켓몬 ex,UR
093/064,H,카운터 게인,포켓몬의 도구,,UR
094/064,G,제트 에너지,특수 에너지,,UR
