컬렉션 넘버,마크,카드명,타입,분류,레어도
001/071,H,로젤리아,,기본 포켓몬,C
002/071,H,로즈레이드,,1진화 포켓몬,U
003/071,H,모부기,,기본 포켓몬,C
004/071,H,수풀부기,,1진화 포켓몬,C
005/071,H,토대부기 ex,,2진화 포켓몬 | 포켓몬 ex,RR
006/071,H,쉐이미,,기본 포켓몬,U
007/071,H,소미안,,기본 포켓몬,C
008/071,H,엘풍,,1진화 포켓몬,R
009/071,H,앤티골,,기본 포켓몬,C
010/071,H,태우지네,,기본 포켓몬,C
011/071,H,다태우지네,,1진화 포켓몬,U
012/071,H,꿰뚫는화염 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
013/071,H,리아코,,기본 포켓몬,C
014/071,H,엘리게이,,1진화 포켓몬,C
015/071,H,장크로다일,,2진화 포켓몬,R
016/071,H,샤프니아,,기본 포켓몬,C
017/071,H,샤크니아,,1진화 포켓몬,U
018/071,H,케르디오,,기본 포켓몬,U
019/071,H,누니머기,,기본 포켓몬,C
020/071,H,모스노우,,1진화 포켓몬,C
021/071,H,바다그다,,기본 포켓몬,C
022/071,H,맨돌핀,,기본 포켓몬,C
023/071,H,돌핀맨,,1진화 포켓몬,U
024/071,H,굽이치는물결 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
025/071,H,바닥트리오 ex,,1진화 포켓몬 | 포켓몬 ex,RR
026/071,H,마릴,,기본 포켓몬,C
027/071,H,마릴리,,1진화 포켓몬,C
028/071,H,동미러,,기본 포켓몬,C
029/071,H,동탁군,,1진화 포켓몬,U
030/071,H,유니란,,기본 포켓몬,C
031/071,H,듀란,,1진화 포켓몬,C
032/071,H,란쿨루스,,2진화 포켓몬,U
033/071,H,날개치는머리,,기본 포켓몬 | 고대,R
034/071,H,시라칸,,기본 포켓몬,R
035/071,H,골비람,,기본 포켓몬,C
036/071,H,골루그,,1진화 포켓몬,U
037/071,H,머드나기,,기본 포켓몬,C
038/071,H,만마드,,1진화 포켓몬,U
039/071,H,탄동,,기본 포켓몬,C
