컬렉션 넘버,마크,카드명,타입,분류,레어도
001/066,H,덩쿠리,,기본 포켓몬,C
002/066,H,덩쿠림보,,1진화 포켓몬,C
003/066,H,쁘사이저,,기본 포켓몬,C
004/066,H,페이검,,기본 포켓몬,C
005/066,H,아리아도스,,1진화 포켓몬,U
006/066,H,리피아,,1진화 포켓몬,U
007/066,H,무쇠잎새,,기본 포켓몬 | 미래,R
008/066,H,차데스,,기본 포켓몬,C
009/066,H,그우린차 ex,,1진화 포켓몬 | 포켓몬 ex,RR
010/066,H,식스테일,,기본 포켓몬,C
011/066,H,나인테일,,1진화 포켓몬,C
012/066,H,마그마그,,기본 포켓몬,C
013/066,H,마그카르고 ex,,1진화 포켓몬 | 포켓몬 ex,RR
014/066,H,코터스,,기본 포켓몬,C
015/066,H,불꽃숭이,,기본 포켓몬,C
016/066,H,파이숭이,,1진화 포켓몬,C
017/066,H,초염몽,,2진화 포켓몬,R
018/066,H,위유이,,기본 포켓몬,U
019/066,H,가재군,,기본 포켓몬,C
020/066,H,가재장군,,1진화 포켓몬,C
021/066,H,글레이시아,,1진화 포켓몬,U
022/066,H,피오네,,기본 포켓몬,C
023/066,H,개구마르,,기본 포켓몬,C
024/066,H,개굴반장,,1진화 포켓몬,C
025/066,H,윽우지,,기본 포켓몬,U
026/066,H,굽이치는물결,,기본 포켓몬 | 고대,R
027/066,H,썬더,,기본 포켓몬,R
028/066,H,목도리키텔,,기본 포켓몬,C
029/066,H,일레도리자드,,1진화 포켓몬,C
030/066,H,모르페코,,기본 포켓몬,U
031/066,H,빈나두,,기본 포켓몬,C
032/066,H,찌리배리,,1진화 포켓몬,U
033/066,H,무쇠가시 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
034/066,H,키링키,,기본 포켓몬,C
035/066,H,키키링,,1진화 포켓몬,U
036/066,H,플라베베,,기본 포켓몬,C
037/066,H,플라엣테,,1진화 포켓몬,C
038/066,H,플라제스,,2진화 포켓몬,U
039/066,H,러브로스,,기본 포켓몬,R
040/066,H,우렁찬꼬리 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
041/066,H,히스이 가디,,기본 포켓몬,C
042/066,H,히스이 윈디,,1진화 포켓몬,R
043/066,H,코코파스,,기본 포켓몬,C
044/066,H,대코파스,,1진화 포켓몬,U
045/066,H,개굴닌자 ex,,2진화 포켓몬 | 포켓몬 ex,RR
046/066,H,루차불,,기본 포켓몬,C
047/066,H,딩루,,기본 포켓몬,R
048/066,H,과사삭벌레,,기본 포켓몬,C
049/066,H,과미르,,1진화 포켓몬,U
050/066,H,이브이,,기본 포켓몬,C
051/066,H,잠만보,,기본 포켓몬,U
052/066,H,다투곰 붉은 달 ex,,기본 포켓몬 | 포켓몬 ex,RR
053/066,H,개조해머,아이템,,U
054/066,H,러브러브볼,아이템,,U
055/066,H,언페어 스탬프,아이템 | ACE SPEC,,ACE
056/066,G,포켓몬 교체,아이템,,U
057/066,G,포켓몬 캐처,아이템,,U
058/066,H,하이퍼 아로마,아이템 | ACE SPEC,,ACE
059/066,H,럭키멧,포켓몬의 도구,,U
060/066,H,서바이브 깁스,포켓몬의 도구 | ACE SPEC,,ACE
061/066,H,관리인,서포트,,C
062/066,H,세류,서포트,,U
063/066,H,수련의 돌봄,서포트,,U
064/066,H,오엽,서포트,,U
065/066,H,마을 회관,스타디움,,U
066/066,H,부메랑 에너지,특수 에너지,,U
067/066,H,쁘사이저,,기본 포켓몬,AR
068/066,H,차데스,,기본 포켓몬,AR
069/066,H,코터스,,기본 포켓몬,AR
070/066,H,초염몽,,2진화 포켓몬,AR
071/066,H,피오네,,기본 포켓몬,AR
072/066,H,윽우지,,기본 포켓몬,AR
073/066,H,일레도리자드,,1진화 포켓몬,AR
074/066,H,러브로스,,기본 포켓몬,AR
075/066,H,히스이 가디,,기본 포켓몬,AR
076/066,H,대코파스,,1진화 포켓몬,AR
077/066,H,과사삭벌레,,기본 포켓몬,AR
078/066,H,이브이,,기본 포켓몬,AR
079/066,H,그우린차 ex,,1진화 포켓몬 | 포켓몬 ex,SR
080/066,H,마그카르고 ex,,1진화 포켓몬 | 포켓몬 ex,SR
081/066,H,무쇠가시 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
082/066,H,우렁찬꼬리 ex,,기본 포켓몬 | 포켓몬 ex | 고대,SR
083/066,H,개굴닌자 ex,,2진화 포켓몬 | 포켓몬 ex,SR
084/066,H,다투곰 붉은 달 ex,,기본 포켓몬 | 포켓몬 ex,SR
085/066,H,관리인,서포트,,SR
086/066,H,세류,서포트,,SR
087/066,H,수련의 돌봄,서포트,,SR
088/066,H,오엽,서포트,,SR
089/066,H,그우린차 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
090/066,H,개굴닌자 ex,,2진화 포켓몬 | 포켓몬 ex,SAR
091/066,H,다투곰 붉은 달 ex,,기본 포켓몬 | 포켓몬 ex,SAR
092/066,H,세류,서포트,,SAR
093/066,H,수련의 돌봄,서포트,,SAR
094/066,H,다투곰 붉은 달 ex,,기본 포켓몬 | 포켓몬 ex,UR
095/066,H,긴급 보드,포켓몬의 도구,,UR
096/066,G,루미너스 에너지,특수 에너지,,UR
