컬렉션 넘버,마크,카드명,타입,분류,레어도
001/080,I,뚜벅쵸,,기본 포켓몬,C
002/080,I,냄새꼬,,1진화 포켓몬,C
003/080,I,라플레시아,,2진화 포켓몬,U
004/080,I,메가헤라크로스,,기본 포켓몬 | 메가진화 ex,RR
005/080,I,연꽃몬,,기본 포켓몬,C
006/080,I,로토스,,1진화 포켓몬,C
007/080,I,로파파,,2진화 포켓몬,U
008/080,I,게노세크트,,기본 포켓몬,R
009/080,I,콩알뚜기,,기본 포켓몬,C
010/080,I,엑스레그,,1진화 포켓몬,U
011/080,I,파이리,,기본 포켓몬,C
012/080,I,리자드,,1진화 포켓몬,C
013/080,I,메가리자몽X,,2진화 포켓몬 | 메가진화 ex,RR
014/080,I,파이어,,기본 포켓몬,U
015/080,I,달막화,,기본 포켓몬,C
016/080,I,불비달마,,1진화 포켓몬,U
017/080,I,레시라무,,기본 포켓몬,R
018/080,I,춤추새,,기본 포켓몬 | 포켓몬 ex,RR
019/080,I,카르본,,기본 포켓몬,C
020/080,I,파라블레이즈,,1진화 포켓몬,U
021/080,I,쥬쥬,,기본 포켓몬,C
022/080,I,쥬레곤,,1진화 포켓몬,C
023/080,I,꾸꾸리,,기본 포켓몬,C
024/080,I,메꾸리,,1진화 포켓몬,C
025/080,I,맘모꾸리,,2진화 포켓몬,U
026/080,I,스이쿤,,기본 포켓몬,R
027/080,I,팽도리,,기본 포켓몬,C
028/080,I,팽태자,,1진화 포켓몬,C
029/080,I,로토무,,기본 포켓몬 | 포켓몬 ex,RR
030/080,I,멍파치,,기본 포켓몬,C
031/080,I,펄스멍,,1진화 포켓몬,C
032/080,I,빠모,,기본 포켓몬,C
033/080,I,빠모트,,1진화 포켓몬,C
034/080,I,빠르모트,,2진화 포켓몬,R
035/080,I,무우마,,기본 포켓몬,C
036/080,I,무우마직,,1진화 포켓몬 | 포켓몬 ex,RR
037/080,I,소미안,,기본 포켓몬,C
038/080,I,엘풍,,1진화 포켓몬,U
039/080,I,자시안,,기본 포켓몬,R
040/080,I,그푸리,,기본 포켓몬,C
041/080,I,공푸리,,1진화 포켓몬,U
042/080,I,팔데아 켄타로스,,기본 포켓몬,U
043/080,I,글라이거,,기본 포켓몬,C
044/080,I,글라이온,,1진화 포켓몬,U
045/080,I,톱치,,기본 포켓몬,C
046/080,I,비브라바,,1진화 포켓몬,C
047/080,I,플라이곤,,2진화 포켓몬,R
048/080,I,포푸니,,기본 포켓몬,C
049/080,I,포푸니라,,1진화 포켓몬,U
050/080,I,샤프니아,,기본 포켓몬,C
051/080,I,메가샤크니아,,1진화 포켓몬 | 메가진화 ex,RR
052/080,I,세비퍼,,기본 포켓몬,U
053/080,I,깜눈크,,기본 포켓몬,C
054/080,I,악비르,,1진화 포켓몬,C
055/080,I,악비아르,,2진화 포켓몬,U
056/080,I,일레즌,,기본 포켓몬,C
057/080,I,스트린더,,1진화 포켓몬,R
058/080,I,엠페르트,,2진화 포켓몬 | 포켓몬 ex,RR
059/080,I,동미러,,기본 포켓몬,C
060/080,I,동탁군,,1진화 포켓몬,U
061/080,I,토게데마루,,기본 포켓몬,C
062/080,I,두랄루돈,,기본 포켓몬,C
063/080,I,브리두라스,,1진화 포켓몬,U
064/080,I,푸린,,기본 포켓몬,C
065/080,I,푸크린,,1진화 포켓몬,U
066/080,I,에이팜,,기본 포켓몬,C
067/080,I,겟핸보숭,,1진화 포켓몬,R
068/080,I,루브도,,기본 포켓몬,C
069/080,I,지그제구리,,기본 포켓몬,C
070/080,I,직구리,,1진화 포켓몬,U
071/080,I,이어롤,,기본 포켓몬,C
072/080,I,메가이어롭,,1진화 포켓몬 | 메가진화 ex,RR
073/080,I,점보 아이스,아이템,,U
074/080,I,히트버너,아이템,,U
075/080,I,성스러운 부적,포켓몬의 도구,,U
076/080,I,불놀이꾼,서포트,,U
077/080,I,블래리의 한 수,서포트,,U
078/080,I,빛나,서포트,,U
079/080,I,배틀 콜로세움,스타디움,,U
080/080,I,현기증 계곡,스타디움,,U
081/080,I,로파파,,2진화 포켓몬,AR
082/080,I,콩알뚜기,,기본 포켓몬,AR
083/080,I,카르본,,기본 포켓몬,AR
084/080,I,쥬레곤,,1진화 포켓몬,AR
085/080,I,팽도리,,기본 포켓몬,AR
086/080,I,멍파치,,기본 포켓몬,AR
087/080,I,자시안,,기본 포켓몬,AR
088/080,I,플라이곤,,2진화 포켓몬,AR
089/080,I,스트린더,,1진화 포켓몬,AR
090/080,I,토게데마루,,기본 포켓몬,AR
091/080,I,푸크린,,1진화 포켓몬,AR
092/080,I,겟핸보숭,,1진화 포켓몬,AR
093/080,I,메가헤라크로스,,기본 포켓몬 | 메가진화 ex,SR
094/080,I,메가리자몽X,,2진화 포켓몬 | 메가진화 ex,SR
095/080,I,춤추새,,기본 포켓몬 | 포켓몬 ex,SR
096/080,I,로토무,,기본 포켓몬 | 포켓몬 ex,SR
097/080,I,무우마직,,1진화 포켓몬 | 포켓몬 ex,SR
098/080,I,메가샤크니아,,1진화 포켓몬 | 메가진화 ex,SR
