컬렉션 넘버,마크,카드명,타입,분류,레어도
001/187,H,꼬몽울,,기본 포켓몬,
002/187,H,리피아,,1진화 포켓몬,
003/187,H,리피아 ex,,1진화 포켓몬 | 포켓몬 ex,RR
004/187,H,소미안,,기본 포켓몬,
005/187,H,엘풍,,1진화 포켓몬,
006/187,H,흥나숭,,기본 포켓몬,
007/187,H,채키몽,,1진화 포켓몬,
008/187,H,과사삭벌레,,기본 포켓몬,
009/187,H,과미르,,1진화 포켓몬,
010/187,H,과미드라 ex,,2진화 포켓몬 | 포켓몬 ex,RR
011/187,H,그푸리,,기본 포켓몬,
012/187,H,공푸리,,1진화 포켓몬,
013/187,H,구르데,,기본 포켓몬,
014/187,H,베라카스,,1진화 포켓몬,
015/187,G,총지엔,,기본 포켓몬,
016/187,H,무쇠잎새 ex,,기본 포켓몬 | 포켓몬 ex,RR
017/187,H,차데스,,기본 포켓몬,
018/187,H,그우린차,,1진화 포켓몬,
019/187,H,그우린차 ex,,1진화 포켓몬 | 포켓몬 ex,RR
020/187,H,오거폰 벽록의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
021/187,G,부스터,,1진화 포켓몬,
022/187,H,부스터 ex,,1진화 포켓몬 | 포켓몬 ex,RR
023/187,G,카르본,,기본 포켓몬,
024/187,G,무쇠독나방,,기본 포켓몬,
025/187,G,위유이,,기본 포켓몬,
026/187,H,오거폰 화덕의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
027/187,H,꿰뚫는화염 ex,,기본 포켓몬 | 포켓몬 ex,RR
028/187,H,콘치,,기본 포켓몬,
029/187,H,왕콘치,,1진화 포켓몬,
030/187,G,샤미드,,1진화 포켓몬,
031/187,H,샤미드 ex,,1진화 포켓몬 | 포켓몬 ex,RR
032/187,H,리아코,,기본 포켓몬,
033/187,H,엘리게이,,1진화 포켓몬,
034/187,H,장크로다일,,2진화 포켓몬,
035/187,H,빈티나,,기본 포켓몬,
036/187,H,밀로틱,,1진화 포켓몬,
037/187,H,눈꼬마,,기본 포켓몬,
038/187,H,눈여아,,1진화 포켓몬,
039/187,G,한카리아스 ex,,2진화 포켓몬 | 포켓몬 ex,RR
040/187,H,글레이시아,,1진화 포켓몬,
041/187,H,글레이시아 ex,,1진화 포켓몬 | 포켓몬 ex,RR
042/187,H,바다그다,,기본 포켓몬,
043/187,G,바닥트리오,,1진화 포켓몬,
044/187,H,맨돌핀,,기본 포켓몬,
045/187,H,돌핀맨,,1진화 포켓몬,
046/187,H,돌핀맨 ex,,1진화 포켓몬 | 포켓몬 ex,RR
047/187,G,무쇠보따리,,기본 포켓몬,
048/187,G,파오젠,,기본 포켓몬,
049/187,H,굽이치는물결 ex,,기본 포켓몬 | 포켓몬 ex,RR
050/187,H,오거폰 우물의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
051/187,G,쥬피썬더,,1진화 포켓몬,
052/187,H,쥬피썬더 ex,,1진화 포켓몬 | 포켓몬 ex,RR
053/187,H,제라오라,,기본 포켓몬,
054/187,G,무쇠손 ex,,기본 포켓몬 | 포켓몬 ex,RR
055/187,H,무쇠가시,,기본 포켓몬,
056/187,H,무쇠가시 ex,,기본 포켓몬 | 포켓몬 ex,RR
057/187,H,캐이시,,기본 포켓몬,
058/187,H,윤겔라,,1진화 포켓몬,
059/187,H,후딘,,2진화 포켓몬,
060/187,G,네이티,,기본 포켓몬,
061/187,G,네이티오,,1진화 포켓몬,
062/187,G,에브이,,1진화 포켓몬,
063/187,H,에브이 ex,,1진화 포켓몬 | 포켓몬 ex,RR
064/187,H,해골몽,,기본 포켓몬,
065/187,H,미라몽,,1진화 포켓몬,
066/187,H,야느와르몽,,2진화 포켓몬,
067/187,H,나룸퍼프,,기본 포켓몬,
068/187,H,님피아,,1진화 포켓몬,
069/187,H,님피아 ex,,1진화 포켓몬 | 포켓몬 ex,RR
070/187,G,파라블레이즈,,1진화 포켓몬,
071/187,G,우렁찬꼬리,,기본 포켓몬,
072/187,H,날개치는머리,,기본 포켓몬,
073/187,G,모으령,,기본 포켓몬,
074/187,G,무쇠무인 ex,,기본 포켓몬 | 포켓몬 ex,RR
075/187,H,이야후,,기본 포켓몬,
076/187,H,기로치,,기본 포켓몬,
077/187,H,무쇠암석,,기본 포켓몬,
078/187,H,무쇠감투 ex,,기본 포켓몬 | 포켓몬 ex,RR
079/187,H,시라칸,,기본 포켓몬,
080/187,G,그란돈,,기본 포켓몬,
