컬렉션 넘버,마크,카드명,타입,분류,레어도
001/098,I,피콘,,기본 포켓몬,C
002/098,I,버섯꼬,,기본 포켓몬,C
003/098,I,버섯모,,1진화 포켓몬,C
004/098,I,커트로토무,,기본 포켓몬,C
005/098,I,짜랑랑,,기본 포켓몬,C
006/098,I,라란티스,,1진화 포켓몬,U
007/098,I,로켓단의 두루지벌레,,기본 포켓몬 | 트레이너의 포켓몬,C
008/098,I,로켓단의 타랜툴라,,기본 포켓몬 | 트레이너의 포켓몬,C
009/098,I,로켓단의 트래피더,,1진화 포켓몬 | 트레이너의 포켓몬,R
010/098,I,미니브,,기본 포켓몬,C
011/098,I,올리뇨,,1진화 포켓몬,C
012/098,I,올리르바,,2진화 포켓몬 | 포켓몬 ex,RR
013/098,I,가디,,기본 포켓몬,C
014/098,I,윈디,,1진화 포켓몬,U
015/098,I,로켓단의 파이어,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
016/098,I,로켓단의 델빌,,기본 포켓몬 | 트레이너의 포켓몬,C
017/098,I,로켓단의 헬가,,1진화 포켓몬 | 트레이너의 포켓몬,U
018/098,I,아차모,,기본 포켓몬,C
019/098,I,영치코,,1진화 포켓몬,C
020/098,I,번치코,,2진화 포켓몬,R
021/098,I,히트로토무,,기본 포켓몬,C
022/098,I,로켓단의 프리져,,기본 포켓몬 | 트레이너의 포켓몬,R
023/098,I,진주몽,,기본 포켓몬,C
024/098,I,헌테일,,1진화 포켓몬,U
025/098,I,분홍장이,,1진화 포켓몬,R
026/098,I,눈쓰개,,기본 포켓몬,C
027/098,I,눈설왕,,1진화 포켓몬,U
028/098,I,워시로토무,,기본 포켓몬,C
029/098,I,찌로꼬치,,기본 포켓몬,C
030/098,I,꼬치조,,1진화 포켓몬,U
031/098,I,터벅고래,,기본 포켓몬,C
032/098,I,우락고래,,1진화 포켓몬 | 포켓몬 ex,RR
033/098,I,로켓단의 썬더,,기본 포켓몬 | 트레이너의 포켓몬,R
034/098,I,로켓단의 메리프,,기본 포켓몬 | 트레이너의 포켓몬,C
035/098,I,로켓단의 보송송,,1진화 포켓몬 | 트레이너의 포켓몬,C
036/098,I,로켓단의 전룡,,2진화 포켓몬 | 트레이너의 포켓몬,U
